,timestamp_started,user_id,event,flyer_id,merchant_id,timestamp_ended
0,2018-10-01 11:36:30-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1996661,2053,2018-10-01 11:42:30-04:00
1,2018-10-01 11:36:30-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2031166,2148,2018-10-01 11:39:30-04:00
2,2018-10-01 11:36:06-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2016311,2268,2018-10-01 11:39:06-04:00
3,2018-10-01 11:46:24-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2016316,2268,2018-10-01 11:47:24-04:00
4,2018-10-01 11:41:14-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2005529,2280,2018-10-01 11:49:14-04:00
5,2018-10-01 12:03:52-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2005529,2280,2018-10-01 12:10:52-04:00
6,2018-10-01 11:42:00-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2009325,2282,2018-10-01 11:47:00-04:00
7,2018-10-01 11:51:45-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2009325,2282,2018-10-01 11:57:45-04:00
8,2018-10-01 11:41:46-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2009325,2282,2018-10-01 11:48:46-04:00
9,2018-10-01 11:50:44-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2026010,2284,2018-10-01 11:56:44-04:00
10,2018-10-01 11:36:05-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2008626,2353,2018-10-01 11:39:05-04:00
11,2018-10-01 11:36:26-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1983481,2366,2018-10-01 11:43:26-04:00
12,2018-10-01 11:34:20-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2000818,2428,2018-10-01 11:42:20-04:00
13,2018-10-01 11:31:59-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,item_open,%3Cnull%3G,246,2018-10-01 11:33:59-04:00
14,2018-10-01 11:36:26-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2026295,2464,2018-10-01 11:38:26-04:00
15,2018-10-01 11:36:04-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1994646,2608,2018-10-01 11:42:04-04:00
16,2018-10-01 11:36:05-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,item_open,1989605,2681,2018-10-01 11:42:05-04:00
17,2018-10-01 11:36:54-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1985618,3436,2018-10-01 11:37:54-04:00
18,2018-10-01 11:30:48-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,item_open,2000648,3554,2018-10-01 11:37:48-04:00
19,2018-10-01 11:36:31-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1990201,3669,2018-10-01 11:43:31-04:00
20,2018-10-01 11:36:41-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1995030,4663,2018-10-01 11:43:41-04:00
21,2018-10-01 11:52:04-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,2022625,5192,2018-10-01 11:57:04-04:00
22,2018-10-01 11:36:55-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1994508,986,2018-10-01 11:40:55-04:00
23,2018-10-01 11:36:25-04:00,0017345b89958a1d8cae79020dbbf6e2f687124ae8bf937fa6ed729e66a13f91,flyer_open,1994508,986,2018-10-01 11:37:25-04:00
